DATE,GAS,COAL,NUCLEAR,WIND,HYDRO,IMPORTS,BIOMASS,OTHER,SOLAR,STORAGE,GENERATION,CARBON_INTENSITY,LOW_CARBON,ZERO_CARBON,RENEWABLE,FOSSIL,GAS_perc,COAL_perc,NUCLEAR_perc,WIND_perc,HYDRO_perc,IMPORTS_perc,BIOMASS_perc,OTHER_perc,SOLAR_perc,STORAGE_perc,GENERATION_perc,LOW_CARBON_perc,ZERO_CARBON_perc,RENEWABLE_perc,FOSSIL_perc
01/01/2009,530.81,824.16,335.25,5.94,14.84,86.41,0,0,0,18.69,1816.1,26.01,0,356.03,20.78,1354.97,29.23,45.38,18.46,0.33,0.82,4.76,0,0,0,1.03,100,0,19.6,1.14,74.61
02/01/2009,691.06,919.16,307.15,4.09,15.47,25.09,0,0,0,20.19,1982.21,27.45,0,326.7,19.56,1610.22,34.86,46.37,15.5,0.21,0.78,1.27,0,0,0,1.02,100,0,16.48,0.99,81.23
03/01/2009,728.15,875.19,278.32,9.26,17.1,29.95,0,0,0,20.3,1958.27,27.2,0,304.67,26.35,1603.34,37.18,44.69,14.21,0.47,0.87,1.53,0,0,0,1.04,100,0,15.56,1.35,81.88
04/01/2009,783.55,861.9,262.48,7.68,16.28,20.21,0,0,0,23.98,1976.07,27.16,0,286.44,23.96,1645.45,39.65,43.62,13.28,0.39,0.82,1.02,0,0,0,1.21,100,0,14.5,1.21,83.27
05/01/2009,912.92,1027.77,246.25,8.19,21.46,5.32,0,0,0,36.64,2258.54,28.13,0,275.89,29.63,1940.69,40.42,45.51,10.9,0.36,0.95,0.24,0,0,0,1.62,100,0,12.22,1.31,85.93
06/01/2009,913.82,1113.94,246.44,17.33,17.22,2.69,0,0,0,23.55,2335,28.88,0,280.99,34.55,2027.77,39.14,47.71,10.55,0.74,0.74,0.12,0,0,0,1.01,100,0,12.03,1.48,86.84
07/01/2009,894.68,1118.32,263.16,5.36,17.21,18.03,0,0,0,23.88,2340.63,28.79,0,285.72,22.57,2013,38.22,47.78,11.24,0.23,0.74,0.77,0,0,0,1.02,100,0,12.21,0.96,86
08/01/2009,847.76,1105.23,265,21.92,16.18,13.95,0,0,0,20.52,2290.56,28.75,0,303.1,38.1,1952.99,37.01,48.25,11.57,0.96,0.71,0.61,0,0,0,0.9,100,0,13.23,1.66,85.26
09/01/2009,851.12,1117.54,251.07,27.64,18.71,2.46,0,0,0,20.43,2288.96,29.03,0,297.42,46.35,1968.65,37.18,48.82,10.97,1.21,0.82,0.11,0,0,0,0.89,100,0,12.99,2.02,86.01
10/01/2009,739.62,1004.16,268.07,61.33,20.72,6.4,0,0,0,20.7,2121,27.96,0,350.12,82.05,1743.77,34.87,47.34,12.64,2.89,0.98,0.3,0,0,0,0.98,100,0,16.51,3.87,82.21
11/01/2009,669.56,922.86,261.22,63.62,29.19,2.39,0,0,0,19.12,1967.97,27.52,0,354.04,92.82,1592.42,34.02,46.89,13.27,3.23,1.48,0.12,0,0,0,0.97,100,0,17.99,4.72,80.92
12/01/2009,805.62,996.41,275.86,46.89,33.71,5.86,0,0,0,25.25,2189.59,27.41,0,356.46,80.6,1802.02,36.79,45.51,12.6,2.14,1.54,0.27,0,0,0,1.15,100,0,16.28,3.68,82.3
13/01/2009,778.98,1080.4,281.54,6.73,34.23,3.79,0,0,0,23.08,2208.75,28.72,0,322.5,40.96,1859.38,35.27,48.91,12.75,0.3,1.55,0.17,0,0,0,1.05,100,0,14.6,1.85,84.18
14/01/2009,812.13,1087.5,273.1,18.35,32.65,1.42,0,0,0,28.55,2253.7,28.59,0,324.1,51,1899.63,36.04,48.25,12.12,0.81,1.45,0.06,0,0,0,1.27,100,0,14.38,2.26,84.29
15/01/2009,791.76,1045,264.81,54.98,31.88,0.35,0,0,0,19.29,2208.07,28.16,0,351.66,86.86,1836.76,35.86,47.33,11.99,2.49,1.44,0.02,0,0,0,0.87,100,0,15.93,3.93,83.18
16/01/2009,711.17,1031.39,259.5,36.28,36.92,12.24,0,0,0,21.76,2109.27,28.45,0,332.7,73.21,1742.56,33.72,48.9,12.3,1.72,1.75,0.58,0,0,0,1.03,100,0,15.77,3.47,82.61
17/01/2009,578.6,861.45,259.81,47.68,35.48,74.94,0,0,0,14.85,1872.8,26.66,0,342.96,83.15,1440.05,30.9,46,13.87,2.55,1.89,4,0,0,0,0.79,100,0,18.31,4.44,76.89
18/01/2009,580.29,834.47,262.9,42.53,32.35,83.53,0,0,0,16.79,1852.87,26.25,0,337.78,74.88,1414.77,31.32,45.04,14.19,2.3,1.75,4.51,0,0,0,0.91,100,0,18.23,4.04,76.36
19/01/2009,734.22,1021.28,268.65,18.34,35.74,36.39,0,0,0,24.67,2139.29,27.98,0,322.73,54.08,1755.5,34.32,47.74,12.56,0.86,1.67,1.7,0,0,0,1.15,100,0,15.09,2.53,82.06
20/01/2009,739.64,1033.67,273.25,27.18,31.52,14.18,0,0,0,24.44,2143.88,28.29,0,331.95,58.7,1773.3,34.5,48.21,12.75,1.27,1.47,0.66,0,0,0,1.14,100,0,15.48,2.74,82.71
21/01/2009,815.83,1024.94,278.93,25.54,31.98,8.37,0,0,0,18.84,2204.44,27.99,0,336.46,57.53,1840.77,37.01,46.49,12.65,1.16,1.45,0.38,0,0,0,0.85,100,0,15.26,2.61,83.5
22/01/2009,760.26,993.17,282.14,45.16,29.73,31.23,0,0,0,22.89,2164.59,27.34,0,357.03,74.89,1753.44,35.12,45.88,13.03,2.09,1.37,1.44,0,0,0,1.06,100,0,16.49,3.46,81.01
23/01/2009,738.55,983.38,291.47,21,29.49,47.43,0,0,0,22.92,2134.23,27.36,0,341.96,50.48,1721.92,34.6,46.08,13.66,0.98,1.38,2.22,0,0,0,1.07,100,0,16.02,2.37,80.68
24/01/2009,632.12,867.41,296.59,18.32,27.87,95.93,0,0,0,18.64,1956.87,26.18,0,342.78,46.18,1499.53,32.3,44.33,15.16,0.94,1.42,4.9,0,0,0,0.95,100,0,17.52,2.36,76.63
25/01/2009,588.39,825.63,306.08,38.89,26.26,93.27,0,0,0,16.19,1894.7,25.52,0,371.23,65.15,1414.02,31.05,43.58,16.15,2.05,1.39,4.92,0,0,0,0.85,100,0,19.59,3.44,74.63
26/01/2009,700.46,1054,307.09,11.4,26.17,29.75,0,0,0,23.5,2152.38,28.16,0,344.66,37.57,1754.46,32.54,48.97,14.27,0.53,1.22,1.38,0,0,0,1.09,100,0,16.01,1.75,81.51
27/01/2009,724.05,1098.82,303.07,15.26,25.32,2.15,0,0,0,27.4,2196.06,28.78,0,343.64,40.58,1822.87,32.97,50.04,13.8,0.69,1.15,0.1,0,0,0,1.25,100,0,15.65,1.85,83.01
28/01/2009,719.46,1096.06,306.31,14.22,24.09,13.79,0,0,0,23.15,2197.08,28.72,0,344.62,38.3,1815.52,32.75,49.89,13.94,0.65,1.1,0.63,0,0,0,1.05,100,0,15.69,1.74,82.63
29/01/2009,752.85,1069.28,289.09,38.33,26.6,4.83,0,0,0,20.74,2201.72,28.36,0,354.01,64.92,1822.13,34.19,48.57,13.13,1.74,1.21,0.22,0,0,0,0.94,100,0,16.08,2.95,82.76
30/01/2009,683.57,1081.11,254.44,53.03,27.36,15.29,0,0,0,22.9,2137.7,28.84,0,334.82,80.39,1764.69,31.98,50.57,11.9,2.48,1.28,0.72,0,0,0,1.07,100,0,15.66,3.76,82.55
31/01/2009,553.82,873.59,304.21,50.06,27.32,94.86,0,0,0,18.35,1922.21,26.02,0,381.59,77.38,1427.41,28.81,45.45,15.83,2.6,1.42,4.94,0,0,0,0.95,100,0,19.85,4.03,74.26
01/02/2009,597.62,837.09,345.26,33.63,25.22,94.28,0,0,0,26.92,1960.03,25.08,0,404.12,58.86,1434.72,30.49,42.71,17.62,1.72,1.29,4.81,0,0,0,1.37,100,0,20.62,3,73.2
02/02/2009,703.33,1082.13,346.8,29.58,22.15,36.04,0,0,0,28.45,2248.49,27.57,0,398.53,51.73,1785.47,31.28,48.13,15.42,1.32,0.99,1.6,0,0,0,1.27,100,0,17.72,2.3,79.41
03/02/2009,685.06,1127.16,367.83,37.43,22.28,16.57,0,0,0,25.63,2281.96,27.95,0,427.55,59.72,1812.21,30.02,49.39,16.12,1.64,0.98,0.73,0,0,0,1.12,100,0,18.74,2.62,79.41
04/02/2009,713.11,1101,378.22,8.22,23.67,9.03,0,0,0,32.57,2265.82,27.91,0,410.11,31.89,1814.11,31.47,48.59,16.69,0.36,1.04,0.4,0,0,0,1.44,100,0,18.1,1.41,80.06
05/02/2009,703.87,1118.03,370.47,11.87,23.7,23.46,0,0,0,25.36,2276.76,27.97,0,406.04,35.57,1821.9,30.92,49.11,16.27,0.52,1.04,1.03,0,0,0,1.11,100,0,17.83,1.56,80.02
06/02/2009,652.41,1112.11,364.26,18.76,20.94,49.27,0,0,0,28.41,2246.15,27.88,0,403.95,39.7,1764.52,29.05,49.51,16.22,0.84,0.93,2.19,0,0,0,1.26,100,0,17.98,1.77,78.56
07/02/2009,568.12,959.49,353.14,23.07,16.58,91.37,0,0,0,17.52,2029.28,26.68,0,392.79,39.65,1527.6,28,47.28,17.4,1.14,0.82,4.5,0,0,0,0.86,100,0,19.36,1.95,75.28
08/02/2009,553.54,948.45,364.24,4.86,17.8,88.36,0,0,0,20.94,1998.18,26.68,0,386.9,22.66,1501.99,27.7,47.47,18.23,0.24,0.89,4.42,0,0,0,1.05,100,0,19.36,1.13,75.17
09/02/2009,690.67,1107.52,376.28,2.99,18.66,31.22,0,0,0,26.73,2254.06,27.95,0,397.92,21.65,1798.19,30.64,49.13,16.69,0.13,0.83,1.39,0,0,0,1.19,100,0,17.65,0.96,79.78
10/02/2009,656.77,1114.95,381.35,4.22,13.94,57.24,0,0,0,25.02,2253.49,27.87,0,399.5,18.15,1771.72,29.14,49.48,16.92,0.19,0.62,2.54,0,0,0,1.11,100,0,17.73,0.81,78.62
11/02/2009,691.34,1115.85,382.98,6.17,14.21,29.86,0,0,0,21.89,2262.31,28.04,0,403.36,20.38,1807.19,30.56,49.32,16.93,0.27,0.63,1.32,0,0,0,0.97,100,0,17.83,0.9,79.88
